"","province","biweek","year","cases","date_sick"
"1",10,1,1968,39,1968-01-01
"2",10,2,1968,15,1968-01-15
"3",10,3,1968,0,1968-01-29
"4",10,4,1968,0,1968-02-12
"5",10,5,1968,4,1968-02-26
"6",10,6,1968,14,1968-03-12
"7",10,7,1968,11,1968-03-26
"8",10,8,1968,7,1968-04-09
"9",10,9,1968,8,1968-04-23
"10",10,10,1968,17,1968-05-07
"11",10,11,1968,39,1968-05-21
"12",10,12,1968,66,1968-06-04
"13",10,13,1968,82,1968-06-18
"14",10,14,1968,86,1968-07-02
"15",10,15,1968,81,1968-07-16
"16",10,16,1968,73,1968-07-30
"17",10,17,1968,87,1968-08-13
"18",10,18,1968,130,1968-08-27
"19",10,19,1968,156,1968-09-10
"20",10,20,1968,136,1968-09-24
"21",10,21,1968,106,1968-10-08
"22",10,22,1968,101,1968-10-22
"23",10,23,1968,107,1968-11-05
"24",10,24,1968,102,1968-11-19
"25",10,25,1968,87,1968-12-03
"26",10,26,1968,76,1968-12-17
"27",10,1,1969,69,1969-01-01
"28",10,2,1969,66,1969-01-15
"29",10,3,1969,65,1969-01-29
"30",10,4,1969,60,1969-02-12
"31",10,5,1969,47,1969-02-26
"32",10,6,1969,38,1969-03-12
"33",10,7,1969,38,1969-03-26
"34",10,8,1969,42,1969-04-09
"35",10,9,1969,43,1969-04-23
"36",10,10,1969,44,1969-05-07
"37",10,11,1969,52,1969-05-21
"38",10,12,1969,66,1969-06-04
"39",10,13,1969,88,1969-06-18
"40",10,14,1969,115,1969-07-02
"41",10,15,1969,140,1969-07-16
"42",10,16,1969,161,1969-07-30
"43",10,17,1969,185,1969-08-13
"44",10,18,1969,211,1969-08-27
"45",10,19,1969,208,1969-09-10
"46",10,20,1969,160,1969-09-24
"47",10,21,1969,103,1969-10-08
"48",10,22,1969,73,1969-10-22
"49",10,23,1969,59,1969-11-05
"50",10,24,1969,39,1969-11-19
"51",10,25,1969,19,1969-12-03
"52",10,26,1969,10,1969-12-17
"53",10,1,1970,11,1970-01-01
"54",10,2,1970,11,1970-01-15
"55",10,3,1970,5,1970-01-29
"56",10,4,1970,2,1970-02-12
"57",10,5,1970,4,1970-02-26
"58",10,6,1970,5,1970-03-12
"59",10,7,1970,6,1970-03-26
"60",10,8,1970,5,1970-04-09
"61",10,9,1970,4,1970-04-23
"62",10,10,1970,5,1970-05-07
"63",10,11,1970,12,1970-05-21
"64",10,12,1970,22,1970-06-04
"65",10,13,1970,31,1970-06-18
"66",10,14,1970,38,1970-07-02
"67",10,15,1970,40,1970-07-16
"68",10,16,1970,36,1970-07-30
"69",10,17,1970,36,1970-08-13
"70",10,18,1970,42,1970-08-27
"71",10,19,1970,50,1970-09-10
"72",10,20,1970,55,1970-09-24
"73",10,21,1970,53,1970-10-08
"74",10,22,1970,43,1970-10-22
"75",10,23,1970,28,1970-11-05
"76",10,24,1970,17,1970-11-19
"77",10,25,1970,11,1970-12-03
"78",10,26,1970,7,1970-12-17
"79",10,1,1971,6,1971-01-01
"80",10,2,1971,5,1971-01-15
"81",10,3,1971,6,1971-01-29
"82",10,4,1971,6,1971-02-12
"83",10,5,1971,4,1971-02-26
"84",10,6,1971,4,1971-03-12
"85",10,7,1971,5,1971-03-26
"86",10,8,1971,9,1971-04-09
"87",10,9,1971,13,1971-04-23
"88",10,10,1971,19,1971-05-07
"89",10,11,1971,22,1971-05-21
"90",10,12,1971,28,1971-06-04
"91",10,13,1971,43,1971-06-18
"92",10,14,1971,66,1971-07-02
"93",10,15,1971,79,1971-07-16
"94",10,16,1971,81,1971-07-30
"95",10,17,1971,86,1971-08-13
"96",10,18,1971,98,1971-08-27
"97",10,19,1971,105,1971-09-10
"98",10,20,1971,101,1971-09-24
"99",10,21,1971,89,1971-10-08
"100",10,22,1971,73,1971-10-22
"101",10,23,1971,55,1971-11-05
"102",10,24,1971,39,1971-11-19
"103",10,25,1971,27,1971-12-03
